cluster_id,category,canonical_keyword,member_keyword,support_count,proposed,accept
245,others,รสชาติปานกลาง,รสชาติปานกลาง,14,1,1
246,others,อร่อยมากกกกก,อร่อยมากกกกก,16,1,1
246,others,อร่อยมากกกกก,อร่อยมากมาก,2,1,0
246,others,อร่อยมากกกกก,อร่อยมากกกค่ะ,2,1,0
246,others,อร่อยมากกกกก,อร่อยมากกกค่า,1,1,0
246,others,อร่อยมากกกกก,อร่อยยมากกค่ะ,1,1,0
246,others,อร่อยมากกกกก,อร่อยกว่ามากค่ะ,1,1,0
246,others,อร่อยมากกกกก,อร่อยยยมากกค่ะ,1,1,0
247,others,หวานนำ,หวานนำ,7,1,1
247,others,หวานนำ,หวานฉ่ำ,1,1,0
248,others,รสชาตหวาน,รสชาตหวาน,2,1,1
249,others,เคี้ยวทานได้ทั้งตัวทั้งเปลือก,เคี้ยวทานได้ทั้งตัวทั้งเปลือก,1,1,1
250,others,ไม่แซ่บ,ไม่แซ่บ,2,1,1
